rosbagTimestamp,controller_name,log,-,name,stamp,secs,nsecs,values
1543504711013281321,'',,"""Drone1_pos""",,1543504711,12989621,"[0.9719799160957336, -0.02446376532316208, 0.15306001901626587]"
1543504711024020385,'',,"""Drone1_pos""",,1543504711,23728628,"[0.971813440322876, -0.024507518857717514, 0.14998257160186768]"
1543504711033197086,'',,"""Drone1_pos""",,1543504711,32878388,"[0.9716617465019226, -0.024474328383803368, 0.1468471735715866]"
1543504711043224939,'',,"""Drone1_pos""",,1543504711,42932043,"[0.9714866876602173, -0.02449609339237213, 0.1437554508447647]"
1543504711053045569,'',,"""Drone1_pos""",,1543504711,52882021,"[0.9713963270187378, -0.02467968314886093, 0.1406395137310028]"
1543504711063140067,'',,"""Drone1_pos""",,1543504711,62979937,"[0.971229076385498, -0.02481318637728691, 0.13748078048229218]"
1543504711073696981,'',,"""Drone1_pos""",,1543504711,73488655,"[0.9710069298744202, -0.024659140035510063, 0.134778693318367]"
1543504711083429958,'',,"""Drone1_pos""",,1543504711,83257621,"[0.970917820930481, -0.02479143813252449, 0.1318642795085907]"
1543504711093487632,'',,"""Drone1_pos""",,1543504711,93077221,"[0.9707318544387817, -0.024949053302407265, 0.12910428643226624]"
1543504711103188997,'',,"""Drone1_pos""",,1543504711,102817527,"[0.9706389307975769, -0.024955686181783676, 0.126334086060524]"
1543504711113349606,'',,"""Drone1_pos""",,1543504711,113042455,"[0.9705753922462463, -0.02485218271613121, 0.1233062669634819]"
1543504711123817549,'',,"""Drone1_pos""",,1543504711,123555501,"[0.9704882502555847, -0.024899663403630257, 0.12037982791662216]"
1543504711133428914,'',,"""Drone1_pos""",,1543504711,133247583,"[0.970380961894989, -0.024996066465973854, 0.11747200042009354]"
1543504711143502782,'',,"""Drone1_pos""",,1543504711,142966508,"[0.9702275991439819, -0.0249013788998127, 0.11465394496917725]"
1543504711153189173,'',,"""Drone1_pos""",,1543504711,152985750,"[0.9701171517372131, -0.02507663518190384, 0.11180701106786728]"
1543504711163711271,'',,"""Drone1_pos""",,1543504711,163064022,"[0.9699366092681885, -0.025114530697464943, 0.10902290791273117]"
1543504711173070767,'',,"""Drone1_pos""",,1543504711,172930610,"[0.9698470830917358, -0.025690188631415367, 0.10618706792593002]"
1543504711183399049,'',,"""Drone1_pos""",,1543504711,183054279,"[0.9696926474571228, -0.0252296831458807, 0.10314129292964935]"
1543504711193163717,'',,"""Drone1_pos""",,1543504711,192999943,"[0.9695956707000732, -0.02534663677215576, 0.10044146329164505]"
1543504711203874432,'',,"""Drone1_pos""",,1543504711,202980685,"[0.9694177508354187, -0.025341244414448738, 0.09797695279121399]"
1543504711213327953,'',,"""Drone1_pos""",,1543504711,213048411,"[0.9693699479103088, -0.025264570489525795, 0.09489961713552475]"
1543504711223230569,'',,"""Drone1_pos""",,1543504711,223022679,"[0.9692478775978088, -0.025186773389577866, 0.09214671701192856]"
1543504711233361077,'',,"""Drone1_pos""",,1543504711,233045637,"[0.9691300392150879, -0.02522651106119156, 0.08939062058925629]"
1543504711243100533,'',,"""Drone1_pos""",,1543504711,242903511,"[0.9690931439399719, -0.025199033319950104, 0.08665040880441666]"
1543504711253260967,'',,"""Drone1_pos""",,1543504711,252984708,"[0.9691283702850342, -0.025330863893032074, 0.08381351828575134]"
1543504711262989779,'',,"""Drone1_pos""",,1543504711,262869515,"[0.969265878200531, -0.025295687839388847, 0.08082886040210724]"
1543504711273088450,'',,"""Drone1_pos""",,1543504711,272875916,"[0.9691353440284729, -0.025646241381764412, 0.0778927206993103]"
1543504711283690284,'',,"""Drone1_pos""",,1543504711,282957660,"[0.9690626859664917, -0.025791458785533905, 0.07464457303285599]"
1543504711293174159,'',,"""Drone1_pos""",,1543504711,292922537,"[0.9691434502601624, -0.026096800342202187, 0.07079091668128967]"
1543504711303341207,'',,"""Drone1_pos""",,1543504711,303186009,"[0.9691737294197083, -0.026349132880568504, 0.06686591356992722]"
1543504711313199912,'',,"""Drone1_pos""",,1543504711,312978459,"[0.9691982269287109, -0.02646324597299099, 0.062255505472421646]"
1543504711323772366,'',,"""Drone1_pos""",,1543504711,323531711,"[0.9692819714546204, -0.026620343327522278, 0.05725622922182083]"
1543504711333387041,'',,"""Drone1_pos""",,1543504711,333223169,"[0.9693515300750732, -0.027331672608852386, 0.05173240602016449]"
1543504711343724315,'',,"""Drone1_pos""",,1543504711,343398791,"[0.9694567322731018, -0.027371536940336227, 0.045738156884908676]"
1543504711353345395,'',,"""Drone1_pos""",,1543504711,353142240,"[0.9690001010894775, -0.02750725857913494, 0.04026534780859947]"
1543504711363784004,'',,"""Drone1_pos""",,1543504711,363050465,"[0.9687820672988892, -0.026013068854808807, 0.03676365315914154]"
1543504711373417532,'',,"""Drone1_pos""",,1543504711,372943808,"[0.9685510993003845, -0.026059508323669434, 0.036618318408727646]"
1543504711383889084,'',,"""Drone1_pos""",,1543504711,383626628,"[0.9680355787277222, -0.026096651330590248, 0.03708387166261673]"
1543504711393081009,'',,"""Drone1_pos""",,1543504711,392907064,"[0.9678056836128235, -0.025958869606256485, 0.03706768527626991]"
1543504711403348975,'',,"""Drone1_pos""",,1543504711,403085538,"[0.9677122831344604, -0.02585483528673649, 0.0366094671189785]"
1543504711413142492,'',,"""Drone1_pos""",,1543504711,412861734,"[0.967780590057373, -0.026269327849149704, 0.03600733354687691]"
1543504711423227473,'',,"""Drone1_pos""",,1543504711,423038493,"[0.9677054286003113, -0.025995993986725807, 0.035844068974256516]"
1543504711433175846,'',,"""Drone1_pos""",,1543504711,432916282,"[0.96767258644104, -0.026161564514040947, 0.035728927701711655]"
1543504711443188689,'',,"""Drone1_pos""",,1543504711,443052928,"[0.96764075756073, -0.026186028495430946, 0.03579380735754967]"
1543504711453160236,'',,"""Drone1_pos""",,1543504711,452854817,"[0.9676950573921204, -0.026134321466088295, 0.035663384944200516]"
1543504711463316730,'',,"""Drone1_pos""",,1543504711,463077837,"[0.9677084684371948, -0.02619759365916252, 0.035730719566345215]"
1543504711473256286,'',,"""Drone1_pos""",,1543504711,473050815,"[0.9676427245140076, -0.026035627350211143, 0.0357917845249176]"
1543504711483342716,'',,"""Drone1_pos""",,1543504711,482950063,"[0.9675938487052917, -0.0261942520737648, 0.03583574667572975]"
1543504711493201705,'',,"""Drone1_pos""",,1543504711,492915644,"[0.9676125049591064, -0.02610063925385475, 0.035747576504945755]"
1543504711503275453,'',,"""Drone1_pos""",,1543504711,503075206,"[0.9676302075386047, -0.025887103751301765, 0.03552157059311867]"
1543504711513722885,'',,"""Drone1_pos""",,1543504711,513565402,"[0.9676642417907715, -0.026192380115389824, 0.03573920205235481]"
1543504711523224995,'',,"""Drone1_pos""",,1543504711,523016482,"[0.9676167964935303, -0.02600981667637825, 0.03576413542032242]"
1543504711533442504,'',,"""Drone1_pos""",,1543504711,533252217,"[0.9675894379615784, -0.02612914890050888, 0.03595031425356865]"
1543504711543739302,'',,"""Drone1_pos""",,1543504711,543171602,"[0.9676439166069031, -0.025969022884964943, 0.03565661236643791]"
1543504711553146595,'',,"""Drone1_pos""",,1543504711,552955771,"[0.9676204919815063, -0.025928353890776634, 0.03557480499148369]"
