rosbagTimestamp,transforms
1543504659202042225,[]
1543504659207028119,[]
1543504659211917989,[]
1543504659216829851,[]
1543504659221844724,[]
1543504659226827041,[]
1543504659231759000,[]
1543504659236992191,[]
1543504659241992180,[]
1543504659246887221,[]
1543504659251794316,[]
1543504659256835615,[]
1543504659261754687,[]
1543504659266814572,[]
1543504659271988669,[]
1543504659276680961,[]
1543504659281916024,[]
1543504659287101537,[]
1543504659291888711,[]
1543504659297004666,[]
1543504659302127852,[]
1543504659306957702,[]
1543504659311896554,[]
1543504659316957524,[]
1543504659321908798,[]
1543504659326949014,[]
1543504659331915364,[]
1543504659337027057,[]
1543504659341855185,[]
1543504659346810508,[]
1543504659352019240,[]
1543504659356926711,[]
1543504659361978424,[]
1543504659366841119,[]
1543504659371859323,[]
1543504659376866210,[]
1543504659381774764,[]
1543504659386735853,[]
1543504659391788435,[]
1543504659396920462,[]
1543504659401705644,[]
1543504659406752261,[]
1543504659411949686,[]
1543504659416948287,[]
1543504659421886908,[]
1543504659426719174,[]
1543504659431824569,[]
1543504659437007939,[]
1543504659441839185,[]
1543504659446769004,[]
1543504659451750256,[]
1543504659456831746,[]
1543504659461883026,[]
1543504659466921839,[]
1543504659471915443,[]
1543504659476873166,[]
1543504659481915681,[]
1543504659486937553,[]
1543504659491607082,[]
1543504659496777356,[]
1543504659502159281,[]
1543504659506834651,[]
1543504659511916934,[]
1543504659516786115,[]
1543504659521822861,[]
1543504659526847475,[]
1543504659531735511,[]
1543504659537002409,[]
1543504659541759888,[]
1543504659546697057,[]
1543504659551820573,[]
1543504659556782806,[]
1543504659561772924,[]
1543504659567010584,[]
1543504659571962384,[]
1543504659577032819,[]
1543504659581952364,[]
1543504659586810681,[]
1543504659591875614,[]
1543504659596788147,[]
1543504659601960247,[]
1543504659606791101,[]
1543504659611928832,[]
1543504659616847819,[]
1543504659622091662,[]
1543504659626769194,[]
1543504659631784667,[]
1543504659636886316,[]
1543504659641916176,[]
1543504659646725588,[]
1543504659651762667,[]
1543504659656781287,[]
1543504659661915636,[]
1543504659666772194,[]
1543504659672074441,[]
1543504659676869642,[]
1543504659681857258,[]
1543504659686678483,[]
1543504659691811211,[]
1543504659696798095,[]
1543504659702044580,[]
1543504659706818633,[]
1543504659711983255,[]
1543504659716907686,[]
1543504659721985619,[]
1543504659726902802,[]
1543504659731847872,[]
1543504659737101513,[]
1543504659741837794,[]
1543504659746781692,[]
1543504659752053644,[]
1543504659756858352,[]
1543504659761966572,[]
1543504659766897208,[]
1543504659771831633,[]
1543504659776871826,[]
1543504659781670561,[]
1543504659786863404,[]
1543504659791747997,[]
1543504659796735922,[]
1543504659801877117,[]
1543504659806810147,[]
1543504659811811070,[]
1543504659816738182,[]
1543504659821835987,[]
1543504659826783166,[]
1543504659831656986,[]
1543504659836918707,[]
1543504659841834185,[]
1543504659846853046,[]
1543504659852022024,[]
1543504659856876154,[]
1543504659862041394,[]
1543504659866888856,[]
1543504659871802266,[]
1543504659876867888,[]
1543504659881760928,[]
1543504659886901557,[]
1543504659891803853,[]
1543504659896825031,[]
1543504659901944883,[]
1543504659906920386,[]
1543504659911975251,[]
1543504659916677589,[]
1543504659921899761,[]
1543504659926759945,[]
1543504659931771847,[]
1543504659936930313,[]
1543504659941907582,[]
1543504659946993909,[]
1543504659951992973,[]
1543504659956854563,[]
1543504659961835490,[]
1543504659966916989,[]
1543504659971861650,[]
1543504659976847096,[]
1543504659981966011,[]
1543504659986858885,[]
1543504659991894322,[]
1543504659996771607,[]
1543504660001988310,[]
1543504660006899470,[]
